Criterion,Intent
"Inability for the subject to complete protocol requirements, such as geographic considerations, psychiatric disorders, or other compliance concerns",able-to-comply
Inability to attend full course of radiotherapy or follow-up visits,able-to-comply
Inability to comply with medical therapy or follow-up,able-to-comply
Inability to comply with protocol mandated hospitalization and restrictions,able-to-comply
Inability to comply with protocol/procedures.,able-to-comply
Inability to comply with protocol-mandated hospitalization and activities restrictions.,able-to-comply
Inability to comply with study and follow-up procedures,able-to-comply
Inability to comply with study and/or follow-up procedures,able-to-comply
Inability to comply with study or follow-up testing and procedures.,able-to-comply
Inability to comply with study procedures,able-to-comply
Inability to comply with study-related procedures,able-to-comply
Inability to comply with visit schedule or other protocol requirements.,able-to-comply
Inability to tolerate 18F-fluciclovine PET/CT exam,able-to-comply
Inability to tolerate additional imaging time in the opinion of the investigator or treating physician.,able-to-comply
Inability to tolerate anesthesia,able-to-comply
"Inability to tolerate at least one modality of diagnostic anatomic imaging, such as CT or MRI",able-to-comply
Inability to tolerate bronchoscopy.,able-to-comply
Inability to tolerate imaging procedures in the opinion of an investigator or treating physician,able-to-comply
Inability to tolerate MRI with contrast.,able-to-comply
Inability to tolerate or complete the HRA procedure,able-to-comply
Inability to tolerate or undergo PET/MRI or PET/CT,able-to-comply
Inability to tolerate prolonged Trendelenburg position as deemed by anesthesiology,able-to-comply
inability to tolerate sedated upper endoscopy due to cardio-pulmonary instability or other significant medical issues,able-to-comply
Inability to tolerate stationary position during HIFU,able-to-comply
Inability to tolerate stationary position during HIFU.,able-to-comply
Inability to tolerate thromboprophylaxis,able-to-comply
Inability to tolerate thromboprophylaxis.,able-to-comply
Individuals must be able to comply with the requirements of REVLIMID Risk Evaluation and Mitigation Strategy (REMS)®,able-to-comply
Individuals who are not able or willing to tolerate the required prolonged stationary position during treatment (approximately 2 hrs.),able-to-comply
Is unable to tolerate a contrast enhanced computed tomography (CT) or magnetic resonance imaging (MRI) for staging/restaging purposes,able-to-comply
"Judgement by the Investigator or Medical Monitor that the patient should not participate in the study if the patient is unlikely to comply with study procedures, restrictions, and requirements",able-to-comply
"Judgment by the investigator that the patient should not participate in the study if the patient is unlikely to comply with study procedures, restrictions and requirements",able-to-comply
"Judgment by the Investigator that the patient should not participate in the study if the patient is unlikely to comply with study procedures, restrictions and requirements.",able-to-comply
"Judgment by the Investigator that the patient should not participate in the study if the patient is unlikely to comply with study procedures, restrictions, and requirements.",able-to-comply
"Known medical, psychiatric, substance abuse, or cognitive disorder that may compromise the patient's ability to understand the patient information, give informed consent, comply with the study protocol or complete the study.",able-to-comply
Limitation of the patient's ability to comply with treatment or follow-up requirements; and,able-to-comply
"Medical, psychiatric, cognitive or other conditions that compromise the patient's ability to understand the patient information, to give informed consent, to comply with the study protocol or to complete the study",able-to-comply
"Medical, psychiatric, cognitive or other conditions that may compromise the patient's ability to understand the patient information, give informed consent, comply with the study protocol or complete the study.",able-to-comply
Medically and psychologically fit and willing to donate,able-to-comply
Must be able to comply with study protocol procedures.,able-to-comply
Must be able to comply with the study and follow-up requirements.,able-to-comply
Must be able to schedule and tolerate additional PET/CT imaging following therapy,able-to-comply
"Must be able to tolerate additional blood draws before, during, and after the radioembolization therapy procedure.",able-to-comply
Must be able to tolerate CT and/or MRI with contrast,able-to-comply
Must be able to tolerate the confinement of an MRI procedure,able-to-comply
Must be willing and able to accept at least one leukapheresis procedure,able-to-comply
Must be willing to take effective antiretroviral therapy if indicated,able-to-comply
Must be willing to take effective antiretroviral therapy if indicated.,able-to-comply
Newly diagnosed MCL: Patients must be willing to receive transfusions of blood products,able-to-comply
Not willing to give longitudinal blood specimens for research use or not willing to allow access to medical records for non-clinical purposes.,able-to-comply
"Participant agrees to, and be capable of, adhering to the study visit schedule and other protocol requirements, including follow-up for survival.",able-to-comply
"Participant is not able to tolerate supine position on PET/CT bed for the duration of the PET/CT acquisitions, is not cooperative, or needs continuous nursing (e.g. patient from Intensive Care Unit) or is unable to attend full course of follow up visits",able-to-comply
"Participant must be willing to comply with study and/or follow-up procedures, including willingness to be followed for one year post-HCT",able-to-comply
"Participants must be willing and able to comply with scheduled visits, treatment schedule, and laboratory testing.",able-to-comply
Participants who are unable to undergo an MRI,able-to-comply
Patient has a caretaker willing to assist with study compliance,able-to-comply
Patient is able and willing to adhere to the study visit schedule and other protocol requirements,able-to-comply
Patient is able and willing to use the Medication Event Monitoring System (MEMS) TrackCap (e.g. not using a pillbox).,able-to-comply
"Patient is unable to tolerate MRI (foreign body; i.e. pacemaker or other implanted device; claustrophobia; inability to tolerate rectal coil, etc.…)",able-to-comply
"Patient is unable to tolerate remaining still on the bed of the PET camera, due to physical limitations or claustrophobia.",able-to-comply
"Patient is unwilling or unable to comply with scheduled visits, drug administration plan, laboratory tests, or other study procedures and study restrictions.",able-to-comply
Patient is willing and able to comply with the protocol for the duration of the study including undergoing treatment and scheduled visits and examinations including follow up.,able-to-comply
Patient is willing and able to comply with the protocol for the duration of the study including undergoing treatment and scheduled visits and examinations.,able-to-comply
Patient must be able to adhere to the study visit schedule and other protocol requirements.,able-to-comply
"Patient must be able to communicate with the investigator, to comply with the requirements of the study procedures, and is willing to remain at the clinical site during the study duration.",able-to-comply
Patient must be able to tolerate PET/CT or PET/MR imaging,able-to-comply
Patient unable to comply with Optune device treatment or the study follow- up schedule,able-to-comply
Patient unable to have an MRI,able-to-comply
Patient willing to complete a medication diary,able-to-comply
Patients able to tolerate PET/MRI scans,able-to-comply
Patients are unable or unwilling to comply with the requirements of clinical trial,able-to-comply
Patients must be able and willing to receive anticoagulation prophylactically versus therapeutically as clinically indicated,able-to-comply
Patients must be able to adhere to the study visit schedule and other protocol requirements.,able-to-comply
Patients must be able to tolerate CT or magnetic resonance (MR) imaging including contrast agents as required for the treatment and the protocol,able-to-comply
Patients must be willing and able to complete study-required procedures,able-to-comply
"Patients must be willing and able to comply with scheduled visits, treatment plan, and laboratory tests.",able-to-comply
Patients must be willing to receive transfusions of blood products,able-to-comply
Patients must fulfill all the following requirements to enter the study:,able-to-comply
Patients must voluntarily sign and date informed consent forms that state his or her willingness to comply with all study procedures and availability for the duration of the study.,able-to-comply
Patients of both sexes must be willing to practice birth control from the time of enrollment on this study and for four months after receiving the protocol treatment.,able-to-comply
Patients should have the ability and willingness to comply with the study and follow-up procedures.,able-to-comply
Patients that cannot tolerate additional imaging procedures following therapy,able-to-comply
Patients that cannot tolerate MRI,able-to-comply
Patients that cannot tolerate the additional blood draws required for this study,able-to-comply
Patients unable to receive contrast enhanced brain magnetic resonance imaging (MRI),able-to-comply
Patients unable to undergo an MRI with contrast,able-to-comply
"Patients unable to undergo gadolinium contrast-enhanced MRI or receive IV contrast for any reason (e.g., due to pacemaker, ferromagnetic implants, claustrophobia, extreme obesity, hypersensitity).",able-to-comply
Patients unable to undergo MRI imaging,able-to-comply
Patients unable to undergo MRI of the prostate.,able-to-comply
Patients unwilling or unable to comply with the protocol.,able-to-comply
"Patients unwilling or unable to undergo magnetic resonance (MR) imaging, including patients with contraindications to MRI, such as cardiac pacemakers or non-compatible intracranial vascular clips",able-to-comply
"Patients unwilling or unable to undergo MR imaging, including patients with contra-indications to MRI, such as cardiac pacemakers or non-compatible intracranial vascular clips.",able-to-comply
Patients unwilling or unable to undergo pelvic MRI,able-to-comply
Patients unwilling to comply with the protocol,able-to-comply
Patients who are able to tolerate flexible bronchoscopy,able-to-comply
Patients who are deemed unable to safely undergo or tolerate flexible bronchoscopy,able-to-comply
Patients who are unable to tolerate anesthesia or sedation,able-to-comply
Patients who are unable to tolerate general anesthesia according to the anesthesiologist,able-to-comply
Patients who are unable to undergo MRI,able-to-comply
Patients who cannot tolerate intravesical dosing or intravesical surgical manipulation,able-to-comply
Patients who cannot tolerate the vaginal ultrasound procedure.,able-to-comply
"Patients will undergo CT imaging of the chest, abdomen, and pelvis to evaluate lung and liver metastases within 30 days of registration; for patients who cannot tolerate CT contrast or have hepatic steatosis that reduces the sensitivity of CT, MRI of the liver will be performed",able-to-comply
Patients willing to comply with study requirements,able-to-comply
"Perspective participants who, in the opinion of the investigator, may not be able to comply with all study procedures (including compliance issues related to feasibility/logistics).",able-to-comply
"Prospective participants who, in the opinion of the investigator, may not be able to comply with all study procedures (including compliance issues related to feasibility/logistics)",able-to-comply
"Prospective participants who, in the opinion of the investigator, may not be able to comply with all study procedures (including compliance issues related to feasibility/logistics).",able-to-comply
"psychiatric conditions e.g. patients unlikely to comply with the protocol, e.g. mental condition rendering the patient unable to understand the nature, scope, and possible consequences of participating in the study",able-to-comply
Psychiatric illness / social situations that would limit compliance with study requirements,able-to-comply
Psychiatric illness or social situation that would limit the patient's ability to tolerate and/or comply with study requirements.,able-to-comply
Psychiatric illness or social situations that would limit compliance with study requirements,able-to-comply
Psychiatric illness or social situations that would preclude study compliance.,able-to-comply
Psychiatric illness/social situation that would preclude compliance with study requirements,able-to-comply
Psychiatric illness/social situations,able-to-comply
Psychiatric illness/social situations that would limit compliance with study requirements,able-to-comply
Psychiatric illness/social situations that would limit compliance with study requirements and ability to comprehend the investigational nature of the study and provide informed consent.,able-to-comply
Psychiatric illness/social situations that would limit compliance with study requirements.,able-to-comply
Psychiatric illness/social situations that would limit the patient s ability to tolerate and/or comply with study requirements.,able-to-comply
"RECIPIENT: Participant must be willing to comply with study and/or follow-up procedures, including willingness to be followed for one year post-HCT",able-to-comply
"RECIPIENT: Prospective participants who, in the opinion of the investigator, may not be able to comply with all study procedures (including compliance issues related to feasibility/logistics)",able-to-comply
"Refusal or inability to tolerate the scanning procedure (e.g., due to claustrophobia)",able-to-comply
Severe psychiatric illness/social situations or cognitive impairment that would limit the patient s ability to tolerate and/or comply with study requirements,able-to-comply
Signed an informed consent form (ICF) indicating that the subject understands the purpose of and procedures required for the study and is willing to participate in the study; subjects must be willing and able to adhere to the prohibitions and restrictions specified in this protocol (Section 4.3),able-to-comply
Stated willingness to comply with all study procedures and availability for the duration of the Study,able-to-comply
Stated willingness to comply with all study procedures and be available for the duration of the study.,able-to-comply
Stated willingness to comply with study procedures and duration.,able-to-comply
STEP 1: If patient says 'Yes' to  I choose to take part in the imaging study and will have the diffusion weighted magnetic resonance imaging (MRI) scans : patients must be able to tolerate MRI scans:,able-to-comply
Subject is able to tolerate endoscopy,able-to-comply
Subject is unable or unwilling to participate in a study related procedure,able-to-comply
Subject is unable or unwilling to undergo protocol required thromboembolism prophylaxis.,able-to-comply
"Subject is willing and able to adhere to the study visit schedule and other protocol requirements within this protocol and for a subject randomized to Treatment Arm A, subject agrees to continued follow-up for up to 15 years as mandated by the regulatory guidelines for gene therapy trials.",able-to-comply
"Subject is willing and able to comply with scheduled visits, treatment plans, laboratory tests and other procedures (including bone marrow assessments).",able-to-comply
Subject is willing and able to comply with study procedures based on the judgement of the investigator or protocol designee.,able-to-comply
Subject is willing and able to comply with the protocol for the duration of the study including undergoing treatment and scheduled visits as well as follow up examinations.,able-to-comply
Subject is willing or able to comply with procedures required in this protocol. Disease Activity,able-to-comply
Subject must be able to comply with all study-related procedures and medication use.,able-to-comply
Subject must be willing and able to adhere to the prohibitions and restrictions specified in this protocol.,able-to-comply
Subject not able or willing to tolerate the required prolonged stationary supine position during treatment,able-to-comply
Subjects is willing and able to comply with study procedures based on the judgement of the investigator or protocol designee.,able-to-comply
"Subjects must be willing and able to comply with scheduled visits, treatment schedule, laboratory tests and other requirements of the study.",able-to-comply
Subjects should be able and willing to comply with protocol visits and procedures.,able-to-comply
Subjects should be willing and able to comply with the study schedule and protocols.,able-to-comply
"Systemic staging including CT that covers the chest, liver and adrenal glands or a PET/CT; MRI of the brain is required and must be negative for metastatic spread. If a patient is unable to tolerate MRI or has a contraindication to MRI, a head CT scan with and without contrast is acceptable",able-to-comply
"The patient is able to adhere to the study visit schedule and other protocol requirements, including follow-up for survival assessment.",able-to-comply
The patient is unable or unwilling to take folic acid or vitamin B12 supplementation,able-to-comply
The patient is unwell or unable to participate in all required study evaluations and procedures,able-to-comply
The patient must be able to tolerate SPECT/CT and PET/CT imaging. This includes:,able-to-comply
"The subject must have the ability to understand and comply with study procedures for the entire length of the study, as determined by the treating physician or protocol designee.",able-to-comply
Tolerated previous transrectal ultrasound guided biopsy procedure under local anesthetic,able-to-comply
Tumor sample requirements:,able-to-comply
Unable for any reason to undergo MRI of the brain,able-to-comply
Unable or unwilling to abide by the study protocol or cooperate fully with the investigator or designee,able-to-comply
Unable or unwilling to tolerate an intracranial MRI,able-to-comply
Unable or unwilling to undergo MRI,able-to-comply
Unable or unwilling to undergo MRI if indicated,able-to-comply
Unable to comply with study investigations (in the judgment of the investigator),able-to-comply
"Unable to comply with the requirements of the protocol, or unable to provide adequate informed consent in the opinion of the principal investigator",able-to-comply
Unable to lie comfortably on a bed inside the MR-PET,able-to-comply
Unable to lie flat during or tolerate PET/CT,able-to-comply
"Unable to lie flat during or tolerate PET/MRI, PET/CT or SBRT.",able-to-comply
"Unable to lie flat, still or tolerate a PET scan",able-to-comply
"Unable to lie flat, still or tolerate a PET scan.",able-to-comply
"Unable to lie flat, still or tolerate a PET/CT scan.",able-to-comply
"Unable to lie flat, still, or tolerate a PET/CT scan",able-to-comply
Unable to lie supine for 1-hour imaging with PET,able-to-comply
Unable to tolerate a contrast enhanced computed tomography (CT) or magnetic resonance imaging (MRI) for staging/restaging purposes,able-to-comply
Unable to tolerate anesthesia or sedation,able-to-comply
Unable to tolerate PET scan (i.e. if the patient is claustrophobic or unable to lie still for 30-60 minutes),able-to-comply
Unable to tolerate prone positioning,able-to-comply
Unable to tolerate the expected radiation therapy prescription,able-to-comply
Unable to tolerate up to 90 min of PET/CT imaging per imaging session.,able-to-comply
Unable to tolerate up to 90 min of PET/MR imaging per imaging session.,able-to-comply
Unable to undergo brain MRI,able-to-comply
Unable to undergo contract MRI of the brain,able-to-comply
Unable to undergo contrast MRI of the brain,able-to-comply
Unable to undergo magnetic resonance imaging (MRI),able-to-comply
"Unable to undergo MRI due to presence of errant metal, cardiac pacemakers, pain pumps or other MRI incompatible devices (MRI group only)",able-to-comply
Unable to undergo MRI of the spine,able-to-comply
Unable to undergo MRI:,able-to-comply
Unable to undergo PET imaging due to pre-existing comorbidities and/or claustrophobia,able-to-comply
Unwilling or unable to comply with study procedures (including follow-up procedures).,able-to-comply
Unwilling or unable to comply with the protocol.,able-to-comply
Unwilling or unable to comply with the trial protocol.,able-to-comply
Unwilling or unable to follow protocol requirements,able-to-comply
Unwilling or unable to follow protocol requirements.,able-to-comply
Unwilling or unable to participate in all required study evaluations and procedures.,able-to-comply
Unwillingness or inability to comply with procedures required in this protocol,able-to-comply
Unwillingness or inability to comply with procedures required in this protocol.,able-to-comply
Willing and able to comply with all aspects of the protocol.,able-to-comply
Willing and able to comply with clinic visits and study-related procedures,able-to-comply
Willing and able to comply with scheduled visits and study procedures.,able-to-comply
"Willing and able to comply with scheduled visits, drug administration plan, imaging studies, laboratory tests, other study procedures, and study restrictions including mandatory prophylaxis for Pneumocystis jirovecii pneumonia (PJP)",able-to-comply
"Willing and able to comply with scheduled visits, treatment plan and laboratory tests",able-to-comply
"Willing and able to comply with scheduled visits, treatment plan and laboratory tests.",able-to-comply
"Willing and able to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.",able-to-comply
Willing and able to comply with study and follow-up procedures,able-to-comply
Willing and able to comply with study procedures and follow-up.,able-to-comply
Willing and able to participate in all required evaluations and procedures in this study including swallowing CBT-101 in accordance administration schedule outlined.,able-to-comply
"Willing and able to participate in all required study evaluations and procedures including receiving IV administration of study drug and admission to the hospital, when required, for at least 24 hrs during administration of study drug",able-to-comply
Willing and able to register into and comply with the mandatory requirements of Celgene's REVLIMID (lenalidomide) Risk Evaluation and Mitigation Strategies (REMS&trade;) program,able-to-comply
Willing and able to tolerate brain MRI's with contrast,able-to-comply
Willing and able to tolerate exhaled breath collection.,able-to-comply
Willing and able to understand the nature of this study and to comply with the study and follow-up procedures.,able-to-comply
Willing to adhere to the prohibitions and restrictions specified in this protocol,able-to-comply
Willing to agree to periodic contact with a member of the study team during the period that the cancer has not recurred and/or has not become platinum resistant,able-to-comply
Willing to be randomized,able-to-comply
Willing to be randomized to placebo for one year,able-to-comply
Willing to complete follow-up serial blood samples post-operatively.,able-to-comply
Willing to follow the requirements of the Pomalyst REMS program.,able-to-comply
"Willing to limit daily alcohol intake to the following: one 12-oz glass of beer, one 6-oz glass of wine, or one 1.5-oz portion of 80-proof alcohol.",able-to-comply
Willing to maintain adherence to combination antiretroviral therapy,able-to-comply
Willing to receive a tetanus vaccination if subject has not had one within the past year.,able-to-comply
Willing to return to Mayo clinic for follow up,able-to-comply
Willing to return to Mayo Clinic Rochester for follow-up.,able-to-comply
"Willingness and ability of the subject to comply with scheduled visits, drug administration plan, protocol-specified laboratory tests, other study procedures, and study restrictions.",able-to-comply
Willingness and ability of the subject to comply with study activities.,able-to-comply
Willingness and ability to comply with all study procedures,able-to-comply
"Willingness and ability to comply with scheduled visits, drug administration plan, protocol-specified laboratory tests, other study procedures, and study restrictions.",able-to-comply
"Willingness and ability to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures",able-to-comply
"Willingness and ability to comply with scheduled visits, treatment plan, laboratory tests, and other trial procedures",able-to-comply
"Willingness and ability to comply with scheduled visits, treatment plan, laboratory tests, and other trial procedures.",able-to-comply
"Willingness and ability to comply with scheduled visits, treatment plans, laboratory tests, and other procedures.",able-to-comply
"Willingness and ability to comply with study and follow-up procedures, and give written informed consent.",able-to-comply
Willingness and ability to comply with study and follow-up procedures.,able-to-comply
Willingness and ability to comply with study procedures and follow-up examination.,able-to-comply
Willingness and ability to comply with trial and follow-up procedures and provide written informed consent.,able-to-comply
"Willingness and ability to comply with trial and follow-up procedures, and give written informed consent",able-to-comply
"Willingness and ability to comply with trial and follow-up procedures, give written informed consent.",able-to-comply
Willingness and ability to participate in all required evaluations and procedures in this study protocol including swallowing capsules without difficulty,able-to-comply
Willingness and capability to comply with the requirements of the study,able-to-comply
"Willingness to avoid exposing breast skin to natural or artificial sunlight (i.e., tanning beds) for the duration of the study.",able-to-comply
"Willingness to comply with scheduled visits, treatment plan, laboratory tests, and other study procedures.",able-to-comply
Willingness to follow the requirements of the intravenous ascorbic acid program schedule,able-to-comply
Willingness to follow the requirements of the intravenous ascorbic acid program schedule.,able-to-comply
"women who are unable to tolerate study constraints, frail, or unable to cooperate",able-to-comply
Women who are unable to tolerate study constraints.,able-to-comply
Ability of patient or Legally Authorized Representative (LAR) to understand and the willingness to sign a written informed consent document,able-to-consent
Ability of patient or Legally Authorized Representative (LAR) to understand and the willingness to sign a written informed consent document.,able-to-consent
Ability of patient to provide informed consent.,able-to-consent
Ability of subject or Legally Authorized Representative (LAR) to understand and sign the written informed consent document.,able-to-consent
Ability of subject or Legally Authorized Representative (LAR) to understand and the willingness to sign a written informed consent document,able-to-consent
Ability of subject or Legally Authorized Representative (LAR) to understand and the willingness to sign a written informed consent document.,able-to-consent
Ability of subject or parent/guardian to understand and the willingness to sign a written informed consent document,able-to-consent
Ability of subject to understand and the willingness to sign a written informed consent document.,able-to-consent
Ability to consent.,able-to-consent
Ability to give informed consent,able-to-consent
Ability to give informed consent.,able-to-consent
"Ability to give written, informed consent prior to any study-specific Screening procedures, with the understanding that the consent may be withdrawn by the patient at any time without prejudice",able-to-consent
"Ability to give written, informed consent prior to any study-specific screening procedures, with the understanding that the consent may be withdrawn by the patient at any time without prejudice.",able-to-consent
Ability to provide consent.,able-to-consent
Ability to provide informed consent,able-to-consent
Ability to provide informed consent and adhere to the required follow-up,able-to-consent
Ability to provide informed consent.,able-to-consent
Ability to provide informed written consent,able-to-consent
Ability to provide informed written consent and be able to adhere to the study visit schedule and other protocol requirements.,able-to-consent
Ability to provide informed written consent.,able-to-consent
Ability to provide the written informed consent and can understand and comply with the requirements of the study.,able-to-consent
Ability to provide written consent.,able-to-consent
Ability to provide written informed consent,able-to-consent
Ability to provide written informed consent and to understand and comply with the requirements of the study,able-to-consent
Ability to provide written informed consent for the protocol and understand the investigational nature of the study.,able-to-consent
Ability to provide written informed consent which must be obtained prior to any screening procedures and according to local guidelines,able-to-consent
Ability to provide written informed consent.,able-to-consent
Ability to read and understand and willing to sign a written informed consent form.,able-to-consent
"Ability to read, understand and evaluate study materials and willingness to sign a written informed consent document",able-to-consent
"Ability to read, understand, and sign a written informed consent approved by each institutional IRB. Alternatively, patients with legal guardians who can read, understand, and sign written informed consent may also enroll.",able-to-consent
Ability to sign and date the consent form.,able-to-consent
"Ability to understand a written informed consent document, and the willingness to sign it.",able-to-consent
Ability to understand and provide informed consent,able-to-consent
Ability to understand and provide informed consent.,able-to-consent
Ability to understand and sign a written informed consent,able-to-consent
Ability to understand and the willingness to sign a written informed consent document,able-to-consent
Ability to understand and the willingness to sign a written informed consent document (adult subject or parent/legal guardian of minor subject),able-to-consent
Ability to understand and the willingness to sign a written informed consent document (all cohorts),able-to-consent
Ability to understand and the willingness to sign a written informed consent document and to undergo tumor biopsies in the expansion phase.,able-to-consent
Ability to understand and the willingness to sign a written informed consent document that is approved by the local institutional review board and HIPAA authorization for the release of personal health information.,able-to-consent
Ability to understand and the willingness to sign a written informed consent document.,able-to-consent
"Ability to understand and the willingness to sign a written informed consent document; if a patient has impaired decision-making capacity, a legally authorized representative, patients will be allowed to participate",able-to-consent
Ability to understand and the willingness to sign a written informed consent document; patients must have signed informed consent to participate in the trial,able-to-consent
Ability to understand and the willingness to sign a written informed consent.,able-to-consent
Ability to understand and the willingness to sign a written informed consent/assent document,able-to-consent
Ability to understand and the willingness to sign a written informed consentdocument.,able-to-consent
Ability to understand and the willingness to sign an informed consent document,able-to-consent
Ability to understand and the willingness to sign an Institutional Review Board (IRB) approved written informed consent document.,able-to-consent
Ability to understand and the willingness to sign an Institutional Review Board (IRB)-approved informed consent document (either directly or via a legally authorized representative),able-to-consent
Ability to understand and to sign a written informed consent document,able-to-consent
Ability to understand and voluntarily give informed consent.,able-to-consent
Ability to understand and willing to sign a written informed consent document,able-to-consent
Ability to understand and willingness to sign a written informed consent and HIPAA consent document,able-to-consent
Ability to understand and willingness to sign a written informed consent and HIPAA consent document. LARs are allowed to sign on patient's behalf with proper documentation.,able-to-consent
Ability to understand and willingness to sign a written informed consent document,able-to-consent
Ability to understand and willingness to sign a written informed consent document (I-SPY 2 TRIAL Screening Consent).,able-to-consent
Ability to understand and willingness to sign a written informed consent document (I-SPY 2 TRIAL Treatment Consent),able-to-consent
Ability to understand and willingness to sign a written informed consent form (the consent form must be signed by the patient prior to any study-specific procedures).,able-to-consent
